game_slug,set_code,set_name,default_language,card_canonical_name,name_sort,collector_number_raw,rarity_code,variant,language,image_url,is_promo,notes_json
weiss,5HY/WE43,5HY/WE43,JP,君と進む先 中野 二乃,君と進む先 中野 二乃,35SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,割り切れない想い 中野 二乃,割り切れない想い 中野 二乃,36SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,割り切れない想い 中野 三玖,割り切れない想い 中野 三玖,38SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,君と進む先 中野 三玖,君と進む先 中野 三玖,43SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,君と進む先 中野 五月,君と進む先 中野 五月,13SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,割り切れない想い 中野 一花,割り切れない想い 中野 一花,06SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,割り切れない想い 中野 四葉,割り切れない想い 中野 四葉,01SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,割り切れない想い 中野 五月,割り切れない想い 中野 五月,20SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,君と進む先 中野 四葉,君と進む先 中野 四葉,15SP,SP,Foil,JP,,0,
weiss,5HY/WE43,5HY/WE43,JP,君と進む先 中野 一花,君と進む先 中野 一花,02SP,SP,Foil,JP,,0,
